track,SDR,ISR,SIR,SAR
Al James - Schoolboy Facination,7.061795412370206,13.331262571588008,inf,6.2375966490205705
AM Contra - Heart Peripheral,10.590915197505495,18.551381912722043,inf,10.39728853414459
Angels In Amplifiers - I'm Alright,9.31445017755905,17.52315382226408,inf,8.992836366538613
Arise - Run Run Run,7.771430610921072,14.121599877195724,inf,7.14353164545027
Ben Carrigan - We'll Talk About It All Tonight,4.939950796143263,9.896164350966647,inf,3.933737613449714
BKS - Bulldozer,8.11688078162172,14.848903675840965,inf,7.28860487275485
BKS - Too Much,10.325206404837212,20.739737700607172,inf,9.978154908601415
Bobby Nobody - Stitch Up,7.881469268655435,16.152920825247804,inf,7.29987089095065
Buitraker - Revo X,4.56041324474303,9.224014036444855,inf,3.0397009077906194
Carlos Gonzalez - A Place For Us,7.0726696507415125,14.042908407723115,inf,6.136371763219149
Cristina Vane - So Easy,9.898316523018412,16.900533828317776,inf,9.642132544587561
Detsky Sad - Walkie Talkie,8.645352981927774,18.549234456574496,inf,8.280210185358037
Enda Reilly - Cur An Long Ag Seol,9.582756809231476,16.108494408250195,inf,9.085454079550871
Forkupines - Semantics,7.75647103666838,14.44880534597161,inf,7.2733304535506536
Georgia Wonder - Siren,4.254584338758289,13.408611566264602,inf,3.08673221440175
Girls Under Glass - We Feel Alright,4.866593809643529,10.388913773089794,inf,4.071808247432907
Hollow Ground - Ill Fate,6.66086931128385,15.277363762172582,inf,6.0757179113699245
James Elder & Mark M Thompson - The English Actor,6.656899689232893,10.91141128062905,inf,6.510056777156819
Juliet's Rescue - Heartbeats,8.971640239985408,17.16843923086742,inf,8.644395444485744
Little Chicago's Finest - My Own,10.247225570355562,19.41933264994435,inf,10.02260843509546
Louis Cressy Band - Good Time,7.844239108174968,16.529662136123942,inf,7.3836595376537755
Lyndsey Ollard - Catching Up,12.027327132350242,16.394843182337656,inf,11.28785131122477
M.E.R.C. Music - Knockout,9.65153754707898,18.418894367516877,inf,9.146549106131541
Moosmusic - Big Dummy Shake,10.254080952093851,18.53769909142395,inf,10.207149235136509
Motor Tapes - Shore,5.2770973927075655,12.103734436347636,inf,5.120781822033673
Mu - Too Bright,8.260282096195997,13.66524972196433,inf,8.046331550484087
Nerve 9 - Pray For The Rain,8.831898808665821,13.17951844403787,inf,8.499817073246366
PR - Happy Daze,1.7795033444031985,2.705881222013027,inf,1.3984286816921918
PR - Oh No,1.981987905951694,3.093960280815655,inf,0.22350474188177355
Punkdisco - Oral Hygiene,6.7766873410100725,18.163945166880385,inf,6.442259175047753
Raft Monk - Tiring,5.216766877200062,10.628397737186672,inf,4.037357652771563
Sambasevam Shanmugam - Kaathaadi,11.425196659367023,19.332677696933427,inf,11.234177943861754
Secretariat - Borderline,6.203423380394793,12.323400791666838,inf,5.325723726113675
Secretariat - Over The Top,7.528042189241382,16.05630143753156,inf,7.104654177210588
Side Effects Project - Sing With Me,11.674516519669112,20.539893104301797,inf,11.741704898206194
Signe Jakobsen - What Have You Done To Me,9.97720995570753,17.98916735110748,inf,9.2612784347021
Skelpolu - Resurrection,1.385272034666454,2.0603645071579217,inf,-0.7714563741748515
Speak Softly - Broken Man,5.044392479202763,10.929390771919948,inf,5.423024853873175
Speak Softly - Like Horses,7.3684291934007895,18.727717883733643,inf,6.744501773849278
The Doppler Shift - Atrophy,8.30116727920695,14.510982044636945,inf,8.02621659527685
The Easton Ellises (Baumi) - SDRNR,6.850506035725164,14.587377423580634,inf,6.438948571900304
The Easton Ellises - Falcon 69,5.273977795224782,13.022847330612944,inf,4.128998404569355
The Long Wait - Dark Horses,7.716596482586567,15.296042172373266,inf,7.191846005703509
The Mountaineering Club - Mallory,10.729742082464897,21.342670129206297,inf,10.527148295698476
The Sunshine Garcia Band - For I Am The Moon,11.188811655918187,19.048825005374496,inf,11.120566450984484
Timboz - Pony,3.9287753626466557,10.901538609319005,inf,2.4827469396845814
Tom McKenzie - Directions,9.87017545412208,15.532309798287544,inf,10.258543285395746
Triviul feat. The Fiend - Widow,9.322485143081973,19.482283931092198,inf,8.8967929664082
We Fell From The Sky - Not You,5.323499321176828,12.053845913843038,inf,4.27229714596278
Zeno - Signs,7.379626747402205,15.423243713817653,inf,6.656972684798998
sum,7.763950823794726,15.286702967272923,inf,7.232588229627082
