track,SDR,ISR,SIR,SAR
Al James - Schoolboy Facination,6.869927932209908,10.849662220675096,inf,6.332655369451363
AM Contra - Heart Peripheral,10.574317322083171,16.402050129311835,inf,11.065244127018353
Angels In Amplifiers - I'm Alright,9.478535546386786,15.369827497893773,inf,9.362481675644272
Arise - Run Run Run,8.189395294160885,12.623374472545908,inf,7.883584456553358
Ben Carrigan - We'll Talk About It All Tonight,4.402563113190176,7.443361915956615,inf,3.628463436458887
BKS - Bulldozer,8.847046162519046,12.112034577919385,inf,7.575248823984179
BKS - Too Much,10.78978751760314,18.041088983234282,inf,10.666377127797768
Bobby Nobody - Stitch Up,8.074797819087546,13.385740854136891,inf,7.791392920589777
Buitraker - Revo X,5.30136357627852,8.318139681074907,inf,3.802458199963548
Carlos Gonzalez - A Place For Us,6.890540813555797,11.0667601468631,inf,5.940959524109308
Cristina Vane - So Easy,9.882830963364196,16.078532631413346,inf,9.725079469131138
Detsky Sad - Walkie Talkie,8.700186738820836,14.241045938934185,inf,8.918492865371377
Enda Reilly - Cur An Long Ag Seol,9.139872765379373,13.91460463616494,inf,8.784510978545857
Forkupines - Semantics,7.802821720033572,12.16748482992964,inf,7.41014122331973
Georgia Wonder - Siren,5.21696517204391,10.40246650128524,inf,4.195664214952936
Girls Under Glass - We Feel Alright,5.092012152468774,8.571385878261143,inf,4.735570353494572
Hollow Ground - Ill Fate,6.942815927888951,11.501074386213352,inf,6.457138506341017
James Elder & Mark M Thompson - The English Actor,5.595014816880783,8.91728583650375,inf,5.985782136822903
Juliet's Rescue - Heartbeats,9.361470217501598,14.53348750404954,inf,9.394117685217067
Little Chicago's Finest - My Own,10.342378771610205,15.281842809351463,inf,10.393141017244368
Louis Cressy Band - Good Time,8.252705510000435,13.873140673037764,inf,7.860559336423744
Lyndsey Ollard - Catching Up,11.635277994591966,14.594199966849697,inf,11.400144291860927
M.E.R.C. Music - Knockout,10.110276671871215,16.44676097210726,inf,9.669846239060412
Moosmusic - Big Dummy Shake,10.671100439793182,16.944133834786918,inf,10.765703282333229
Motor Tapes - Shore,5.7044156357354,10.447612047676815,inf,5.097584730049926
Mu - Too Bright,8.956616316480266,14.450316684022942,inf,8.9204220326785
Nerve 9 - Pray For The Rain,9.121013439899041,12.592914203577067,inf,8.241817440496678
PR - Happy Daze,2.006058591639663,2.4152428745207475,inf,2.7345943646317905
PR - Oh No,1.855277166417374,3.096157559419418,inf,0.5402179800783495
Punkdisco - Oral Hygiene,8.495038358012955,15.752622304564106,inf,8.711874515952791
Raft Monk - Tiring,5.214066490106537,8.480311546801207,inf,4.591760722990952
Sambasevam Shanmugam - Kaathaadi,11.566403439174797,17.1867656979908,inf,10.81825116187143
Secretariat - Borderline,6.2198982720282725,10.256449992151989,inf,5.514898986782349
Secretariat - Over The Top,8.141873787211313,13.912738389461195,inf,8.043733999542718
Side Effects Project - Sing With Me,12.102380204697438,17.51899630347979,inf,12.666944649960282
Signe Jakobsen - What Have You Done To Me,9.936742123609665,14.946506689408237,inf,9.2488769140544
Skelpolu - Resurrection,0.1772035426531892,0.40027458437352414,inf,-1.3764390495555316
Speak Softly - Broken Man,5.315087733742555,9.353203239705248,inf,6.070095904264889
Speak Softly - Like Horses,7.733077035675839,17.23670264877586,inf,7.352398164635638
The Doppler Shift - Atrophy,8.254773709258512,12.597342509094508,inf,8.105451647911108
The Easton Ellises (Baumi) - SDRNR,6.222757184332622,9.31857038906325,inf,5.68377921322102
The Easton Ellises - Falcon 69,5.788187797119775,10.157343281481454,inf,5.034104892236918
The Long Wait - Dark Horses,8.243437140052913,14.304124454570736,inf,7.64387059055693
The Mountaineering Club - Mallory,11.46887129782774,19.15436901501575,inf,11.368444989162896
The Sunshine Garcia Band - For I Am The Moon,11.253931163524516,18.07342989890316,inf,11.342203296820646
Timboz - Pony,4.325952820402603,6.497428633691578,inf,3.1990106228226938
Tom McKenzie - Directions,10.477113598545454,14.122488809754053,inf,10.85487705953754
Triviul feat. The Fiend - Widow,9.745326900992932,17.074245774306146,inf,9.471080178730647
We Fell From The Sky - Not You,5.471363005582764,9.478970736075546,inf,5.022736274353672
Zeno - Signs,7.987103264785381,13.442199167077122,inf,7.256430132450999
sum,8.2164162171069,13.413970010607006,inf,7.825976128506761
