track,SDR,ISR,SIR,SAR
Al James - Schoolboy Facination,6.147187066762024,11.659216520819006,inf,5.431307844394292
AM Contra - Heart Peripheral,9.353230268797528,15.71107034319147,inf,9.11113541104052
Angels In Amplifiers - I'm Alright,8.169642917019814,14.422687029003251,inf,7.904251956086856
Arise - Run Run Run,6.940634163436789,13.437476034671718,inf,6.381554142596983
Ben Carrigan - We'll Talk About It All Tonight,4.144816269041838,8.48985351565987,inf,3.2209943865821073
BKS - Bulldozer,6.51804628846878,12.138532316960447,inf,5.711593694151529
BKS - Too Much,9.198461252394562,18.71914315469534,inf,8.914127585276356
Bobby Nobody - Stitch Up,6.653358241892644,13.268797103114096,inf,5.888681828900389
Buitraker - Revo X,4.146181368637824,8.640833917905985,inf,2.3165908065626324
Carlos Gonzalez - A Place For Us,6.294029445763383,11.919977154194246,inf,5.262511876397248
Cristina Vane - So Easy,9.056214780166615,17.51271366069114,inf,8.846097956064972
Detsky Sad - Walkie Talkie,6.590485955206093,16.957230637800137,inf,6.657447076098746
Enda Reilly - Cur An Long Ag Seol,8.223697939777487,13.714153324550193,inf,8.022003800910667
Forkupines - Semantics,6.556549167710633,13.10702333756847,inf,6.149401503853941
Georgia Wonder - Siren,4.327776226771456,11.515050030287627,inf,3.189149209037063
Girls Under Glass - We Feel Alright,4.406189856044205,9.469565767363065,inf,3.5938124535420126
Hollow Ground - Ill Fate,5.947866221644203,12.809949050853227,inf,5.135669919478019
James Elder & Mark M Thompson - The English Actor,4.886037587996712,9.683824295696423,inf,4.808965724936031
Juliet's Rescue - Heartbeats,8.013454239808466,15.757153262989652,inf,7.675274255561007
Little Chicago's Finest - My Own,8.596776634979458,12.603399530154242,inf,7.954287322137125
Louis Cressy Band - Good Time,6.698923850098801,15.544878143739918,inf,6.192298632822064
Lyndsey Ollard - Catching Up,11.166213746525157,15.815326538207664,inf,10.56569972513464
M.E.R.C. Music - Knockout,8.42246652136773,17.53072556838842,inf,7.931988562193838
Moosmusic - Big Dummy Shake,9.266625348679089,17.857048898806987,inf,9.142590669360349
Motor Tapes - Shore,4.973973428495981,13.689145821622809,inf,4.580346211203757
Mu - Too Bright,6.878835904360092,18.78048175540866,inf,6.338978077099144
Nerve 9 - Pray For The Rain,8.9064421245745,13.801895431524787,inf,8.129188762819815
PR - Happy Daze,0.21516857340458972,0.4904721602423573,inf,-4.549025445910578
PR - Oh No,0.6584584774966928,2.1320679920000125,inf,0.6602550112513454
Punkdisco - Oral Hygiene,3.0759725518335057,11.770192908076016,inf,2.4787978330209675
Raft Monk - Tiring,4.37312199854266,8.9671536928608,inf,3.1807467344464166
Sambasevam Shanmugam - Kaathaadi,11.550152262799298,19.62437386629084,inf,10.998181790466923
Secretariat - Borderline,5.262140526487717,11.56006428163823,inf,4.490601883912844
Secretariat - Over The Top,6.8299907413324785,14.437372295522287,inf,6.376252955880314
Side Effects Project - Sing With Me,9.942136688155625,19.091828612861374,inf,9.875791059871396
Signe Jakobsen - What Have You Done To Me,8.649292932254966,15.146549600691124,inf,8.211549464467344
Skelpolu - Resurrection,2.207264540854099,4.599682496818249,inf,-0.3279683386817127
Speak Softly - Broken Man,4.772970882911008,10.733720652581031,inf,4.349329692701077
Speak Softly - Like Horses,6.615866552957071,13.816984584946235,inf,5.939632128931015
The Doppler Shift - Atrophy,7.409135471166634,13.445613772411956,inf,7.096133989271513
The Easton Ellises (Baumi) - SDRNR,7.2892347245594635,12.165868453855417,inf,6.434816455512076
The Easton Ellises - Falcon 69,5.222808806546524,9.334123981645737,inf,3.727617498673487
The Long Wait - Dark Horses,7.011523316834588,14.707514995637471,inf,6.1990167354998
The Mountaineering Club - Mallory,9.984706991307926,20.792201382702142,inf,9.45391802910391
The Sunshine Garcia Band - For I Am The Moon,10.411299664405565,19.68576864096613,inf,10.207020083439096
Timboz - Pony,3.7521603689506415,8.625516761394739,inf,2.2255597439696637
Tom McKenzie - Directions,8.986313139059517,13.873701535866097,inf,9.392288544560978
Triviul feat. The Fiend - Widow,8.068898493024697,19.393482138077623,inf,7.552564517732322
We Fell From The Sky - Not You,4.096574086670202,9.735866465439102,inf,3.01789877178751
Zeno - Signs,6.632883849995251,14.351726238817351,inf,5.830836391297437
sum,6.676141045995722,13.567379797017383,inf,6.195657684160932
