track,SDR,ISR,SIR,SAR
Al James - Schoolboy Facination,7.014220714035143,12.032601288190621,inf,5.942363143577517
AM Contra - Heart Peripheral,9.656301932293076,15.52563276289379,inf,9.217971497995318
Angels In Amplifiers - I'm Alright,8.557176202870378,15.509296723246958,inf,7.591595572638742
Arise - Run Run Run,7.1528935941373595,15.27436405091576,inf,7.023196074416998
Ben Carrigan - We'll Talk About It All Tonight,4.501896914683317,9.623284209264245,inf,3.4661995083970853
BKS - Bulldozer,4.758813906632414,12.670400809947434,inf,4.440380749457719
BKS - Too Much,10.321185430070177,18.76841106252354,inf,9.791717701197072
Bobby Nobody - Stitch Up,8.350347598000797,17.341305008445232,inf,7.764231293713702
Buitraker - Revo X,4.3680072009861455,10.012822817645077,inf,3.2202700112793425
Carlos Gonzalez - A Place For Us,6.593826915368462,13.528427447357267,inf,5.671836312838431
Cristina Vane - So Easy,9.802758919818796,16.215738614488906,inf,9.560482388459198
Detsky Sad - Walkie Talkie,9.011850111630402,14.50014438805975,inf,7.542638179582413
Enda Reilly - Cur An Long Ag Seol,8.839899382942846,13.668084954022742,inf,8.05954190724033
Forkupines - Semantics,6.749299255978048,12.576953924681348,inf,6.026607838385852
Georgia Wonder - Siren,5.103658737236103,11.740935881628655,inf,4.175785347895615
Girls Under Glass - We Feel Alright,4.471080967488284,10.241579143978383,inf,3.522884471771428
Hollow Ground - Ill Fate,6.671732793601336,14.297354148649976,inf,5.762744183255174
James Elder & Mark M Thompson - The English Actor,5.799485485227539,9.879922406707939,inf,5.2548759891667896
Juliet's Rescue - Heartbeats,8.508432202165366,17.216830703881833,inf,8.284981970809913
Little Chicago's Finest - My Own,10.036252945679209,18.596379359005375,inf,9.619930240993702
Louis Cressy Band - Good Time,7.476711433885418,16.90815122264468,inf,6.881911189071481
Lyndsey Ollard - Catching Up,10.643087982447945,14.85653791421294,inf,10.102275994134061
M.E.R.C. Music - Knockout,9.452698491409183,17.076822635323996,inf,8.747838898370464
Moosmusic - Big Dummy Shake,9.594058723971091,16.33798868766317,inf,8.342596516658269
Motor Tapes - Shore,4.181929778969788,10.807481192451192,inf,3.762961648553648
Mu - Too Bright,8.1044790054215,10.614124349149375,inf,6.594929723199217
Nerve 9 - Pray For The Rain,7.506549741560543,11.36976935803711,inf,6.614961427488817
PR - Happy Daze,-8.929282966690332,-0.019198658810994466,inf,-23.91808169035265
PR - Oh No,0.00010937828170742966,1.004270269388065,inf,-0.7677325390792012
Punkdisco - Oral Hygiene,6.119242086889103,17.938230870895307,inf,5.725245118268999
Raft Monk - Tiring,5.161697517705842,10.691763007893261,inf,4.166695557701018
Sambasevam Shanmugam - Kaathaadi,10.961045896551664,17.74213101726137,inf,10.478085407332259
Secretariat - Borderline,5.598271405859302,12.579449370832883,inf,5.031394947586289
Secretariat - Over The Top,7.239024479009073,16.470245797782802,inf,6.958120762747448
Side Effects Project - Sing With Me,11.576198149314873,20.030442192486042,inf,11.714113719870271
Signe Jakobsen - What Have You Done To Me,9.903896103098887,17.4668542410611,inf,9.002988682965793
Skelpolu - Resurrection,0.36869628345993843,0.7315864691025475,inf,-2.060614017626735
Speak Softly - Broken Man,4.909191706638425,9.106841970627958,inf,4.857498161886143
Speak Softly - Like Horses,7.198048412051791,19.146402099415308,inf,6.477361411347154
The Doppler Shift - Atrophy,6.9759526345607235,12.49283823814848,inf,6.524816544447702
The Easton Ellises (Baumi) - SDRNR,4.115972509326276,9.194053871152784,inf,2.900928395111797
The Easton Ellises - Falcon 69,4.620895380316567,10.570194646249,inf,3.371258257965982
The Long Wait - Dark Horses,7.627508215446089,16.375774764011382,inf,7.164994450677321
The Mountaineering Club - Mallory,10.367076204005475,21.43197663525431,inf,10.149591813378011
The Sunshine Garcia Band - For I Am The Moon,10.870324666585958,19.117669336097197,inf,10.589756798065748
Timboz - Pony,3.2110157944859488,8.108457419501232,inf,1.4995227423946622
Tom McKenzie - Directions,9.231335252326792,14.803571856321433,inf,9.924955672394752
Triviul feat. The Fiend - Widow,8.968962812189108,17.545051393615047,inf,8.31564017980342
We Fell From The Sky - Not You,5.497021072160616,12.097829134252443,inf,4.288879779652791
Zeno - Signs,7.253496606626277,13.266611893759295,inf,6.402616141847258
sum,7.218536445530432,13.98271955133636,inf,6.55987313382346
